inflation,compulsory_education,employment_population_ratio,exports_goods,gdp,population_15_64,population_65_above,unemployment,women_business_score_bin
-0.632653419095547,9,42.559,28.9778991754721,23.1883374919225,14.4897302381927,12.9037843925877,15.418,FALSE
0.268575076501392,12,49.477,33.7442798606396,23.0817060019568,14.5004869483489,12.6538466421836,12.732,FALSE
1.84829469843848,10,52.886,52.4063936498056,26.6883099799951,15.584738931008,14.2948325114584,6.064,TRUE
14.6714002511137,10,58.378,46.4276493913136,24.6635044540509,15.7341543351505,13.214218504473,5,FALSE
8.34100450279709,9,57.003,62.5093471231924,24.7311249533918,15.6815391768325,14.1816705760262,5.844,FALSE
1.92085069495049,12,44.159,79.4296154739536,26.8721441272922,15.806857909351,14.549669635012,7.83,TRUE
1.33330596746471,9,24.389,35.9087093866022,23.5527203446956,14.6961496559377,13.2096542153411,25.408,FALSE
3.32355974481327,11,44.346,63.8820003964575,24.681215596168,15.3491907689585,14.2129166122934,7.575,FALSE
-0.0165165912473526,8,39.147,46.5412375089579,24.6911523781961,14.8272052834239,13.6240364440111,13.103,TRUE
-0.574732598335757,10,48.676,70.4840522281272,23.7781166968689,13.652409105892,11.9556735125244,13.006,FALSE
1.14145060120347,9,49.439,79.1070766309635,25.9849398825104,15.7577970064831,14.4891185865154,3.952,FALSE
0.25459516653126,10,53.891,53.4259805224841,26.4678629733999,15.1178138853531,13.9022156380498,5.989,TRUE
2.18730990746438,9,52.771,77.00753773581,23.8850672647732,13.6539582199899,12.4389407596396,6.882,FALSE
0.0874254582934526,10,50.268,34.8104524683015,26.2085946517588,15.0578280187409,13.9435035167394,8.818,TRUE
0.522559343400445,10,46.538,30.2475371833945,28.5335816531979,17.5444451846657,16.3827131442289,10.057,TRUE
2.27481842989697,9,50.647,39.9992925341285,23.480045874972,14.7182571810943,13.1697659125952,16.604,FALSE
1.32775222269545,13,53.564,46.0732628543356,28.8642982852136,17.8047975216075,16.6722865220338,4.122,TRUE
-0.5785807515839,10,32.09,31.2874562644429,25.9948808945486,15.7531261161008,14.6368543640494,23.514,TRUE
1.3204719948326,13,45.201,86.4047382876954,25.5747432353471,15.6991485680775,14.4105458877023,5.115,TRUE
2.260860866933,10,71.102,47.4840362948306,23.6475794774458,12.3106848812964,10.752184433837,2.978,TRUE
0.583849082631687,10,51.369,121.912360759951,26.4187677340287,14.9503708765069,13.3636799937049,8.374,TRUE
1.13435002037254,12,35.29,29.3278907466434,28.2518093744366,17.4760072812435,16.4188156095876,11.688,TRUE
0.863392494557075,11,50.358,59.6070823895513,24.0522096127777,14.0511271958998,12.889916685764,9.643,TRUE
1.57625277213522,10,51.721,67.5873830562834,24.4722809290911,14.451398260754,13.2346415110752,7.862,TRUE
-1.1076169264046,12,49.979,191.098633740622,24.8673851907638,12.9093236105152,11.3236517981636,6.291,TRUE
3.5508738308871,9,68.234,32.8664989349745,22.822503625343,14.4838920857665,12.70994313835,1.591,FALSE
5.10106883707128,9,39.519,40.6006659735659,22.1522162138586,12.9428395034436,11.4054404719855,17.732,FALSE
0.454667288773308,13,54.86,79.5351647591471,27.3855705198321,16.2256833346352,14.9493300677728,6.006,TRUE
-1.59809716352439,10,58.567,35.9381714261875,26.6962621414661,15.0493009659912,13.6701830062791,4.679,TRUE
0.0872763880105083,10,46.031,50.268318939351,26.9201229386083,17.0797701804889,15.6264593945877,6.161,FALSE
1.71666254687131,12,47.526,40.2108236358286,26.0385425797307,15.7191582409944,14.5877165777425,11.068,TRUE
2.62128680850675,10,42.285,42.4170514032136,25.9325716286795,16.3963588548059,15.0355868030836,5.901,FALSE
2.84422269802643,11,52.739,25.8544829769167,27.9429979987906,18.4196412438593,16.8192213185745,5.559,FALSE
1.54988883247718,8,38.029,48.5170935445558,24.4363474912431,15.3563128208144,14.1396904089762,15.257,TRUE
-0.512295855894507,10,46.904,93.4660454954659,25.2300408882996,15.1490832366149,13.5924932486812,9.679,TRUE
0.874115426326341,9,47.524,77.5981668322775,24.5183826880619,14.1359020467807,12.8438445274373,8.007,FALSE
0.32209801213854,10,41.334,33.8624576012634,27.8400604839834,17.2403287259837,15.9845731725798,19.635,TRUE
1.52560991398094,9,57.337,42.691478270481,26.9685242303548,15.6449342411675,14.4862014734436,6.99,TRUE
-0.583291591583972,11,59.684,66.817725925772,27.2863839090853,15.5416317014914,14.2264844647402,4.918,FALSE
8.13047807814451,12,27.907,23.0835091311263,27.5178923791927,17.809252490041,15.562820279771,10.899,FALSE
1.96479827407785,11,54.803,28.9023395233588,28.7243388031075,17.5564954603295,16.2830167778682,4.81,TRUE
8.93036849064981,12,38.612,12.33306570863,25.2375212977836,16.8746051612138,14.15730574537,5.16,FALSE
1.45073158124514,9,43.402,31.5697983098872,23.2256583121928,14.4876501155122,12.9331646268305,13.616,FALSE
2.15064189848613,12,49.445,38.2160456550464,23.1540266635517,14.487858424701,12.67834557297,12.968,FALSE
1.0055341594591,13,53.16,54.0511531414978,26.7106444233865,15.5892861150307,14.3078106386148,5.561,TRUE
16.1724003104411,10,58.734,48.547864732761,24.6655024561044,15.7408606472295,13.2534425157095,5,FALSE
8.62353504522142,9,57.027,66.7899156485229,24.7561260421094,15.6738668972256,14.1983373419858,5.648,FALSE
1.83027279601211,12,45.297,83.1824102499921,26.888210177156,15.8080102202395,14.5637508544372,7.086,TRUE
1.77870702677497,9,27.225,40.3244111739223,23.5846462553464,14.6782570429043,13.2268332965988,20.527,FALSE
4.81312048422326,11,46.574,67.0133002681935,24.7083046253864,15.3366670508824,14.2213929123464,6.164,FALSE
